model	nDCG	time
50x25x25x10	0.5021148787626071	1.617723552443865e-06
100x25x25x10	0.5047767347036156	2.200459297152906e-06
200x50x50x25	0.515404606260387	5.317009131659034e-06
200x100x100x50	0.5184767183612433	1.0475532441937962e-05
100x50x50x10	0.5144310674222169	3.3003076074586e-06
