model	nDCG	time	energy
100_8	0.502877415009832	2.86925e-07	1.659669999999995e-05
300_32	0.5179239722001268	1.8054399999998509e-06	0.000103515
878_64	0.5228184631393911	1.5035499999999997e-05	0.00089426
300_8	0.5116567733763082	6.643e-07	3.87938e-05
150_64	0.5186130314021566	2.7075399999999997e-06	0.000157001
300_16	0.5154621448250872	1.1244799999999999e-06	6.48976e-05
150_8	0.5066485469441009	3.755629999999942e-07	2.1636e-05
300_64	0.5211868379557564	5.403929999999621e-06	0.000317796
150_32	0.5153008777913098	1.03394e-06	5.95666e-05
500_64	0.5225050683634633	9.192039999999999e-06	0.0005459459999999995
200_32	0.515832067510942	1.3623899999999998e-06	7.84623e-05
