User	nDCG	Recall	APLT
000883382802f2d95a3dd545bb953882	0.14465249243306436	0.05714285714285714	0.0
000a1016fda6008d1edbba720ca00851	0.0	0.0	0.0
000efb30c5236d7437c3cdf4bf3e4dc7	0.0	0.0	0.1
0011e1a9112b3d798702ef5b20bbf35b	0.0	0.0	0.2
0019de4561419b7543238e0979f2f33e	0.22009176629808017	0.038461538461538464	0.0
00204424763e8233c5f53f0729f2304f	0.07336392209936006	0.047619047619047616	0.0
00214d8b0a020837cccf5f41eb563037	0.0	0.0	0.0
00238d8a4c276c47f5d5e242f54a8f28	0.11004588314904008	0.02702702702702703	0.0
002a023d3de233b4bd3ec4fc3e9c581a	0.0	0.0	0.0
002e063d40ae0107a59d8f9c1aa7a423	0.35256832412172806	0.2222222222222222	0.0
0031be80b3fe7a295cb98af400bcc583	0.0	0.0	0.0
004470054c60c8961814f487370cc386	0.0	0.0	0.0
0050886c41bd26ff4bf7bc47b3aa0b84	0.2529427027676572	0.125	0.1
005238c5743d61b58e49d5da089e43df	0.11004588314904008	0.09090909090909091	0.1
005a572f0bfe510fa796e6eadc6a2eb4	0.0	0.0	0.1
005f902ce947f147fbb880420553d52e	0.08671382849411971	0.14285714285714285	0.0
00608f34a76da8ba3ed37b25f263adf4	0.11004588314904008	0.08333333333333333	0.0
00624f09513d2322b41cdbcb73853b6c	0.0	0.0	0.1
00678bcab8da79ce5720200a3c2e4e7f	0.0	0.0	0.0
006beedd060f70067eac5540b9c375bb	0.0	0.0	0.0
006c8ccc69f7b8bab157603605ae5ef9	0.0	0.0	0.0
006f552534b15a7358a125f7505e0eea	0.0	0.0	0.0
00735b5ea2c10159ae8c571a4a10fa88	0.11004588314904008	0.08333333333333333	0.0
0077175036682322b87cf93f6bdbd30f	0.08671382849411971	0.14285714285714285	0.1
007d939b748568b27d1ec164e12d4b8a	0.08431423425588572	0.125	0.0
0088ac052921fbdad6145c29322f9144	0.0	0.0	0.0
009033078efdad45c1eceeb92d159237	0.0	0.0	0.0
009235f414f42cfd0f76282f6aefe6c1	0.28634598975246917	0.05	0.0
00925084a0dc0aad9ac93163a7f4bfe9	0.0	0.0	0.0
0094c87e3b8c40fbbf7fe6e796020648	0.0	0.0	0.0
00982d9fbae61a3a96654e21dbc74999	0.09478836436955078	0.025	0.0
009a47e49c0dc6e84d1c5e0eb4cdf7f6	0.29802729812225154	0.02564102564102564	0.0
009abcb92443d0c048847ed0b8d2ecf0	0.34304271142002485	0.25	0.0
00a55fde304f3d845550b8675cb28f2c	0.0	0.0	0.0
00aa49f5edd7656ed6c52eb97bddfd31	0.0	0.0	0.1
00aabc1cf5b62cff6f5274a593c96b4e	0.0	0.0	0.0
00ab40b465c14ed05e60496d6c232bc4	0.0	0.0	0.2
00af7569ab6ee719f3b940dfda65bb3f	0.0	0.0	0.0
00b46da4f0fb73bf00f09d8a655d209a	0.06943122193677725	0.09090909090909091	0.0
00b5b129cc3cfa6511418cce1cec54ab	0.09478836436955078	0.021739130434782608	0.0
00b81fa8e2de286c6cfec8559f3f7b21	0.1517621910780354	0.06451612903225806	0.0
00c3abb0d9ae9344ce03abbefb58bb72	0.0	0.0	0.1
00c408fd5137c7ee782a7304b4a93b2c	0.0	0.0	0.0
00c47066c4168423c9ecb13fc2fc1eca	0.0	0.0	0.1
00c484920796bba4529e9c1514a2f57f	0.0	0.0	0.0
00c4d678380bb932ed552d1a866d8f9a	0.23719771276929616	0.5	0.0
00c7135b2305f50cb384a85785fb4fbf	0.0	0.0	0.0
00d635f2b62714abbbe824aef229db79	0.0	0.0	0.0
00d6b283f77415fbb08db4c8c65c016d	0.0	0.0	0.0
00e25a76a0ad690cc10a7ab7b57fa4a9	0.0	0.0	0.0
00efe9bf7f110572763cac91479965c5	0.0	0.0	0.0
00f20eab8cd5f651040e5359c9c3ee62	0.0	0.0	0.1
00f401f4d493eea391011082de03de07	0.0	0.0	0.0
00f430253f528f841dc91aa3f9498457	0.4847119890255185	0.03669724770642202	0.0
00f70d68cbeb3332407069bf801213f7	0.0	0.0	0.0
00f7a95d3c427c9df924cf69cc7da840	0.11751610475642713	0.25	0.0
00f8c4836a695ebda1ccde72349949eb	0.0	0.0	0.0
00fd7c2c0c007fdb51c8c07040319aa3	0.0	0.0	0.0
00fe0b0e23a347b90fe0fcd5ea03351c	0.0	0.0	0.0
00feeb3952f562e06632057ecd880508	0.0	0.0	0.0
00ff07d6da43dee10553c946072b84c5	0.30701473034246535	0.23076923076923078	0.0
01001347e5bab7241212a0a6910260f8	0.1388624438735545	0.017857142857142856	0.0
0102db8db2097cd4482ebc20b7b2d5be	0.07336392209936006	0.021739130434782608	0.0
010526eab660c2d81dc4763ecc90e781	0.0	0.0	0.0
010ced6ba2326717811dea2209f8b21b	0.0	0.0	0.0
010d9d3ee61d8ba172197a5a33369097	0.0	0.0	0.0
0110a199dc5638247be7a096898b1317	0.0	0.0	0.0
01123b14590a1ac22fe172aab20129a3	0.0	0.0	0.0
0112f1272ed7ed5968d3feb0f3431158	0.0	0.0	0.1
011317536f296c2502650e31e1d7d6e0	0.09478836436955078	0.1	0.0
011375c417e89f0c77c96e6335a4e185	0.22009176629808017	0.07142857142857142	0.1
0118d9d0a565b11b7ff9edcaace80f75	0.1388624438735545	0.020833333333333332	0.0
011b88cfc54443fda211190757510368	0.0	0.0	0.0
0120b61139bff5571cb0d8520d988d40	0.0	0.0	0.3
012244b7526b095ccd165f92e06ca0f4	0.3026024134988135	0.16666666666666666	0.0
012a6ba453cd3b648e5e75b64a2ae14c	0.0	0.0	0.0
01395525afb150e03704b2f7be70e29b	0.11004588314904008	0.08333333333333333	0.0
013ef437e9e8f8c0968f952548165cc9	0.0	0.0	0.0
01417cc1a3e78a0f84553ab6adbb337d	0.17318663334822612	0.058823529411764705	0.0
0146ebbe8d86fc63ff256d4c6f96e088	0.0	0.0	0.1
014bafb43282fbb49eecaa466538fd1f	0.11752277470724269	0.1111111111111111	0.0
01513f4c5488498d952a32a3337452d8	0.0	0.0	0.0
0153fc6c1544418a2dc6e27155451de2	0.0	0.0	0.3
01546af41b83c0b4141b11c19e8c35af	0.08514311764162097	0.012658227848101266	0.0
015988b10cec9949eb29663fcac897f5	0.0	0.0	0.0
015b058cd8c3cf8dfd54543036b2552a	0.38685280723454146	1.0	0.1
015faffa5d679d223ac360c7844f507a	0.0	0.0	0.1
01617db4bbe09772d3ad93c9d2b124b1	0.0	0.0	0.1
0163d7cbed017f77007e22d37510b21c	0.0	0.0	0.0
0166004b962bc53d8fdf5db2a07a9505	0.0	0.0	0.0
01688299ca0cc563f46b92d52800402d	0.22784037450527975	0.125	0.0
016e4d567d080cb669998f32b4f42820	0.0	0.0	0.0
017619f3daea3c2382652fc71cc3b3d7	0.0	0.0	0.0
017794e8ac994e38a2244c2045f22670	0.0	0.0	0.0
01779fa6427e7ef62f2c9c86d87417ee	0.0	0.0	0.0
017b191eda3aa98eff33a8c7b11f6ffa	0.0	0.0	0.0
017bcce20687ebc080a1818506573c86	0.2895229882348574	0.16666666666666666	0.0
017fa7fa5ca764f1b912b4b1716adca5	0.0	0.0	0.0
01817f56085e9e7bd456b9bbd83d4949	0.0	0.0	0.0
0182c38705db3cff0999c887104ac561	0.1388624438735545	0.058823529411764705	0.0
0182f83df986f4976e64483d036e5a23	0.09478836436955078	0.0625	0.0
018aa7f8bcee57bfc3f6170d1e6cd08d	0.0	0.0	0.1
018b79c67575992edf59f4219fcf6c00	0.13012668333070057	0.25	0.0
018fb46979eaef202859956d5ccb905b	0.0	0.0	0.0
01916180c3f68ec8f7d6e45854d3c538	0.0	0.0	0.0
0193c234e5f50e7ac6de3a3f58ff06aa	0.0	0.0	0.1
0193d09a3d6c33f45cb526b4a58ea7e8	0.0	0.0	0.0
019670b149319ad03bdc582b756c4e6b	0.0	0.0	0.0
019b789789c1d477d8be1cc1714f56f2	0.07336392209936006	0.09090909090909091	0.0
01a723850ff625fdee36e8bbc152e07e	0.08514311764162097	0.05263157894736842	0.0
01ac61df8755dfef908abfe8205c3366	0.06943122193677725	0.038461538461538464	0.0
01af8a9cde1c9cabf983548af2bd1297	0.0	0.0	0.2
01b4f28fa3501fc7fafb18ab36bd91c9	0.0	0.0	0.0
01ba2d5260f145c1fa720a8de256baae	0.0	0.0	0.0
01bc2ec6f6d29236844d35d882dd4666	0.0	0.0	0.0
01c2b1d55e780a2c20bd034899f316cf	0.11004588314904008	0.03333333333333333	0.0
01c8296fe804297e97fbf2ce401aee3c	0.0	0.0	0.2
01c884e8b82f7ce60305b875b54288dc	0.0	0.0	0.1
01cb923edef75a7be9661a5ce91afe3c	0.24630238874072993	0.25	0.3
01cd98f00ff6183b6bf9e80cc257b08b	0.0	0.0	0.0
01ce1366779bbe51e4d7a3fa53c8fead	0.0	0.0	0.0
01cfc1c7572268b8cf638fa4120f0658	0.1264713513838286	0.125	0.0
01d068b5d8f3e85033450dda5cbf77c3	0.0	0.0	0.1
01d41b07b04cb8208355f7c9567709b9	0.0	0.0	0.0
01d7dc7007a12792601ab0b2231927f2	0.0	0.0	0.3
01d7f125cf5a4314befe1ab53f0fff58	0.0	0.0	0.0
01d9a62f05d2e81f186bbe67dfeb502e	0.0	0.0	0.0
01dd727eb667cac794b69f25e5d611c6	0.0	0.0	0.3
01e1b0b0145ff430c00348e89962d5f8	0.07839826897867534	0.07692307692307693	0.0
01e2d286d0361edf8c62bc580d3baa18	0.0	0.0	0.3
01e764266bc9007f2972c37a52a5629a	0.0	0.0	0.1
01e96c7d44960f167c612b07d51e6392	0.0	0.0	0.2
01ec1a320ffded6b2dd47833f2c8e4fb	0.11004588314904008	0.008620689655172414	0.0
01ecfe002aa4654438a7a44292c9ed46	0.1610425878239398	0.125	0.0
01f0e31cbcdace11c619dcdd55add026	0.0	0.0	0.2
01f1827a50c832866a5e454c2bcfbb4f	0.3499667779514209	0.05357142857142857	0.0
01fb089a04602ebb35c1fc99e30cf05a	0.0	0.0	0.1
02008897be0ccd3e70824cd614425101	0.0	0.0	0.1
0206a131ec5a914dd50b55f88b3be914	0.3843113526044082	0.09090909090909091	0.0
020768edae0dddc1d9fa3f74f64f3dbd	0.0	0.0	0.0
020c9932b6dfbb4bc7f0e7ecba26188f	0.0	0.0	0.1
0211d1aee73e2cc5eb952aa32eafbf94	0.0	0.0	0.0
02150fdd453d2a726a2f42bc38f94661	0.0	0.0	0.0
0218bf21f156312bc32a6f1d7c5e2534	0.06625422345438903	0.022222222222222223	0.0
0218dce29fa61820dac35f5cad6b3e6f	0.2529427027676572	0.125	0.0
021ac658c81e64160c16124db294c7d7	0.0	0.0	0.1
021fe3743f50c34292fbab9e185e27cd	0.27191445400928344	0.11538461538461539	0.0
021ffb3b0c56a65537c0821e1d4b7bc0	0.0	0.0	0.1
02205f3fcd3db4ec047c0b6d358205cc	0.0	0.0	0.0
0221eb834fe0c69ed696a91e80bb60a2	0.13743816645714546	0.14285714285714285	0.0
0223a9592bfaf2edce5a348a293c254b	0.28634598975246917	0.015037593984962405	0.0
022906aa916fb7cc1b9afbd6c1ef850d	0.0	0.0	0.0
