qid	model	doc_per_query	nDCG	time
0	200x50x50x25	103	0.33584422	0.0005096697500000001
1	200x50x50x25	31	0.7881198	0.00027345503
2	200x50x50x25	78	0.70780694	0.00052017966
3	200x50x50x25	76	0.6071145	0.0005261996800000001
4	200x50x50x25	40	0.87744737	0.00027539240000000004
5	200x50x50x25	113	0.71637696	0.00051427995
6	200x50x50x25	102	0.6015851	0.00051502452
7	200x50x50x25	103	0.49876294	0.00051566744
8	200x50x50x25	112	0.27416793	0.0005174769600000001
9	200x50x50x25	122	0.46822873	0.00053837258
10	200x50x50x25	89	0.26547128	0.00055155525
11	200x50x50x25	39	0.7755467	0.00029843501999999997
12	200x50x50x25	129	0.65639246	0.00079696974
13	200x50x50x25	42	0.61644304	0.00028771764000000004
14	200x50x50x25	93	0.24859054	0.00053020788
15	200x50x50x25	151	0.4948977	0.00079218073
16	200x50x50x25	165	0.4226078	0.0007882578000000001
17	200x50x50x25	73	0.26106843	0.00052698773
18	200x50x50x25	93	0.22998409	0.0005315601000000001
19	200x50x50x25	114	0.31623167	0.0005283979800000001
20	200x50x50x25	79	0.6417214	0.00051649963
21	200x50x50x25	62	0.63105917	0.00027538974000000004
22	200x50x50x25	140	0.6219448	0.0008013474
23	200x50x50x25	355	0.4253662	0.0015607646
24	200x50x50x25	89	0.40234637	0.0005198525599999999
25	200x50x50x25	125	0.47164926	0.0005408875
26	200x50x50x25	160	0.61970186	0.0007957104000000001
27	200x50x50x25	168	0.73724806	0.0007753620000000001
28	200x50x50x25	160	0.48101196	0.0007954608000000001
29	200x50x50x25	150	0.21495733	0.0007906020000000001
30	200x50x50x25	67	0.7638364	0.00053048523
31	200x50x50x25	187	0.56305075	0.0007935999500000001
32	200x50x50x25	180	0.4610712	0.0008017452
33	200x50x50x25	180	0.40842748	0.0008280432000000002
34	200x50x50x25	128	0.61022985	0.0006663180800000002
35	200x50x50x25	51	0.46087942	0.00028257519
36	200x50x50x25	99	0.8567482	0.00052651764
37	200x50x50x25	128	0.80662745	0.0005313548800000001
38	200x50x50x25	78	0.6575686	0.00053636232
39	200x50x50x25	51	0.676231	0.00028532511
40	200x50x50x25	67	0.47248182	0.00054101495
41	200x50x50x25	29	0.38685283	0.00027889764
42	200x50x50x25	59	0.087203674	0.00027746992000000003
43	200x50x50x25	284	0.5395283	0.00128195044
44	200x50x50x25	52	0.48859093	0.00028074748
45	200x50x50x25	114	0.5614965	0.00053374458
46	200x50x50x25	132	0.69827014	0.0007758049200000002
47	200x50x50x25	86	0.6932167	0.00052793766
48	200x50x50x25	77	0.4923492	0.0005218721200000001
49	200x50x50x25	130	0.7322195	0.0007854275000000001
50	200x50x50x25	85	0.50276613	0.0005159449
51	200x50x50x25	83	0.6625412	0.00052621004
52	200x50x50x25	66	0.82502866	0.0005150475000000001
53	200x50x50x25	125	0.3706902	0.0005328825000000001
54	200x50x50x25	80	0.55218977	0.0005342472
55	200x50x50x25	169	0.82084167	0.00081773692
56	200x50x50x25	78	0.7423141	0.0005343202800000001
57	200x50x50x25	54	0.31546488	0.00027773226
58	200x50x50x25	49	0.526308	0.00028029274000000004
59	200x50x50x25	89	0.20210735	0.00052447255
60	200x50x50x25	79	0.2232589	0.0005427497500000001
61	200x50x50x25	64	0.8289255	0.00028257984000000004
62	200x50x50x25	110	0.7288884	0.0005522902
63	200x50x50x25	67	0.5828882	0.00052665752
64	200x50x50x25	61	0.47005504	0.00028296741
65	200x50x50x25	113	0.6606933	0.0005305451700000001
66	200x50x50x25	117	0.71545583	0.0005357745900000001
67	200x50x50x25	143	0.38853082	0.00080286063
68	200x50x50x25	76	0.51341397	0.00054352008
69	200x50x50x25	95	0.36776197	0.00053262035
70	200x50x50x25	34	0.3227266	0.00028248254000000003
