qid	model	doc_per_query	nDCG	time
0	100x50x50x10	103	0.37478605	0.00032386496000000005
1	100x50x50x10	31	0.8209479	0.00016958240000000002
2	100x50x50x10	78	0.7346271	0.00032714994
3	100x50x50x10	76	0.7958696	0.00031829712000000005
4	100x50x50x10	40	0.8745014	0.0001770424
5	100x50x50x10	113	0.67523503	0.00032584002
6	100x50x50x10	102	0.6131735	0.00033041778000000003
7	100x50x50x10	103	0.50418425	0.00031337956000000006
8	100x50x50x10	112	0.38197404	0.00031403008000000003
9	100x50x50x10	122	0.46673134	0.00030531232
10	100x50x50x10	89	0.39119378	0.00031739981
11	100x50x50x10	39	0.7755467	0.00017540250000000002
12	100x50x50x10	129	0.5937847	0.00047199810000000004
13	100x50x50x10	42	0.5811964	0.00017749998000000003
14	100x50x50x10	93	0.2480689	0.00031941222
15	100x50x50x10	151	0.44335803	0.00047863225
16	100x50x50x10	165	0.4262858	0.0004665804000000001
17	100x50x50x10	73	0.18795161	0.00031896766000000004
18	100x50x50x10	93	0.19348301	0.00031666965000000006
19	100x50x50x10	114	0.38688418	0.00030745458000000004
20	100x50x50x10	79	0.69452596	0.00031537511
21	100x50x50x10	62	0.6157325	0.00017578488000000002
22	100x50x50x10	140	0.6149234	0.0004794454000000001
23	100x50x50x10	355	0.32080483	0.00091614495
24	100x50x50x10	89	0.41439378	0.00030857457000000004
25	100x50x50x10	125	0.506916	0.00031571500000000005
26	100x50x50x10	160	0.61275464	0.0004912032
27	100x50x50x10	168	0.73440987	0.0004730258400000001
28	100x50x50x10	160	0.48274216	0.00047093440000000003
29	100x50x50x10	150	0.21495733	0.0004796655
30	100x50x50x10	67	0.7932191	0.00031140260000000005
31	100x50x50x10	187	0.5464863	0.0004724966400000001
32	100x50x50x10	180	0.41167498	0.00047645280000000004
33	100x50x50x10	180	0.36918783	0.0004727826
34	100x50x50x10	128	0.5696638	0.0003281971200000001
35	100x50x50x10	51	0.48356664	0.00018106275000000002
36	100x50x50x10	99	0.8232274	0.00032441211000000005
37	100x50x50x10	128	0.8265035	0.00032128256000000003
38	100x50x50x10	78	0.8303834	0.00032235528
39	100x50x50x10	51	0.6900747	0.00017766513000000002
40	100x50x50x10	67	0.4667601	0.00032185259000000005
41	100x50x50x10	29	0.38685283	0.00017381759
42	100x50x50x10	59	0.08481246	0.00017467776
43	100x50x50x10	284	0.49064952	0.0007788671600000002
44	100x50x50x10	52	0.49580956	0.00017759248
45	100x50x50x10	114	0.5999389	0.00032596704000000003
46	100x50x50x10	132	0.63306546	0.00049381728
47	100x50x50x10	86	0.5693705	0.00033724212000000003
48	100x50x50x10	77	0.49783966	0.00032710755
49	100x50x50x10	130	0.5116937	0.00048668230000000005
50	100x50x50x10	85	0.5085766	0.00033295265
51	100x50x50x10	83	0.72119296	0.00033103471
52	100x50x50x10	66	0.7464915	0.00033404976000000005
53	100x50x50x10	125	0.193379	0.0003298525
54	100x50x50x10	80	0.54783744	0.0003242648
55	100x50x50x10	169	0.76457083	0.0005210692500000001
56	100x50x50x10	78	0.7404789	0.00032711484
57	100x50x50x10	54	0.3562072	0.00018644256000000003
58	100x50x50x10	49	0.551659	0.00018964519
59	100x50x50x10	89	0.16716045	0.00033589757000000004
60	100x50x50x10	79	0.16396967	0.00033940770000000003
61	100x50x50x10	64	0.7909226	0.00018443776000000002
62	100x50x50x10	110	0.70243657	0.0003274799
63	100x50x50x10	67	0.62681496	0.00033408746000000006
64	100x50x50x10	61	0.48874268	0.00017956753
65	100x50x50x10	113	0.66887224	0.00036578213000000007
66	100x50x50x10	117	0.70441335	0.00031396716
67	100x50x50x10	143	0.40722638	0.00050281803
68	100x50x50x10	76	0.52040523	0.0003387624000000001
69	100x50x50x10	95	0.34956414	0.00033676455
70	100x50x50x10	34	0.30383772	0.00018745016000000001
71	100x50x50x10	175	0.61557484	0.00055659275
72	100x50x50x10	92	0.2675719	0.00034140463999999995
73	100x50x50x10	85	0.55972445	0.0003257778
74	100x50x50x10	53	0.87938356	0.00018159019000000003
75	100x50x50x10	128	0.6767446	0.00033345536000000005
76	100x50x50x10	129	0.62914634	0.0004893924600000001
77	100x50x50x10	109	0.41433316	0.00034518447
78	100x50x50x10	103	0.19972299	0.00033105745
79	100x50x50x10	129	0.42677185	0.00048443241000000007
80	100x50x50x10	71	0.78079015	0.0003319647600000001
81	100x50x50x10	83	0.21002589	0.00032594266
82	100x50x50x10	175	0.595161	0.0004859382500000001
83	100x50x50x10	82	0.06569061	0.00033204998
84	100x50x50x10	120	0.33620024	0.0003238596
85	100x50x50x10	53	0.6437741	0.00017771748
86	100x50x50x10	97	0.90194154	0.00033314456000000005
87	100x50x50x10	103	0.50563073	0.00032320267000000006
88	100x50x50x10	44	0.0	0.0001837726
89	100x50x50x10	82	0.7413687	0.00034939216000000003
90	100x50x50x10	136	0.4570824	0.00050332512
91	100x50x50x10	61	0.58546466	0.00018318239
92	100x50x50x10	99	0.52355546	0.00033783453000000007
93	100x50x50x10	167	0.104058966	0.00049920475
94	100x50x50x10	113	0.58508235	0.00031784753000000006
95	100x50x50x10	164	0.23824963	0.00049023044
96	100x50x50x10	36	0.85509616	0.00018237492000000002
97	100x50x50x10	145	0.39261442	0.00048200755000000003
98	100x50x50x10	175	0.008961603	0.000494375
99	100x50x50x10	89	0.5048446	0.0003233904000000001
100	100x50x50x10	134	0.18674476	0.00050653206
101	100x50x50x10	42	0.6523236	0.00018401250000000003
102	100x50x50x10	155	0.54078454	0.0004840107500000001
103	100x50x50x10	60	0.50661	0.00017470740000000005
104	100x50x50x10	142	0.44748273	0.00047195688
105	100x50x50x10	187	0.5745725	0.00047222549000000005
106	100x50x50x10	71	0.3903937	0.00032031224
107	100x50x50x10	103	0.29298666	0.0003333698
108	100x50x50x10	175	0.4781123	0.00048654725000000013
109	100x50x50x10	113	0.59307325	0.00032566713000000005
110	100x50x50x10	172	0.38717425	0.00047537188000000005
111	100x50x50x10	169	0.39783663	0.00049334987
112	100x50x50x10	147	0.46181953	0.00048110013
113	100x50x50x10	121	0.7863468	0.00030377292
114	100x50x50x10	198	0.78314835	0.0006292341
115	100x50x50x10	75	0.25160697	0.000314955
116	100x50x50x10	114	0.7266809	0.00032078004
117	100x50x50x10	110	0.19815399	0.00032327790000000005
118	100x50x50x10	84	0.6941112	0.00032983523999999996
119	100x50x50x10	118	0.36589056	0.00031613734
120	100x50x50x10	112	0.41108695	0.0003256601600000001
121	100x50x50x10	107	0.43277156	0.0003265201300000001
122	100x50x50x10	79	0.5360842	0.00030897769000000005
123	100x50x50x10	127	0.34760103	0.0003260979
124	100x50x50x10	142	0.869874	0.00048821446
125	100x50x50x10	167	0.4536481	0.00049329796
126	100x50x50x10	70	0.5685347	0.0003251850000000001
127	100x50x50x10	176	0.3075677	0.00050318928
128	100x50x50x10	86	0.29562446	0.0003281803
129	100x50x50x10	121	0.5977885	0.00032957496
130	100x50x50x10	137	0.5405019	0.00048401004000000005
131	100x50x50x10	226	0.57658917	0.00065044156
132	100x50x50x10	21	0.48289678	0.00018778998
133	100x50x50x10	83	0.41769332	0.00047934242999999997
134	100x50x50x10	101	0.70762086	0.00034432213000000006
135	100x50x50x10	151	0.4962787	0.00050058765
136	100x50x50x10	109	0.5900571	0.00033239550000000004
137	100x50x50x10	72	0.888402	0.00032971248000000005
138	100x50x50x10	114	0.38126	0.0003384625800000001
139	100x50x50x10	73	0.68365395	0.0003310973400000001
140	100x50x50x10	70	0.459769	0.0003231648
141	100x50x50x10	53	0.9022263	0.00018596269
142	100x50x50x10	131	0.2680739	0.0004807176
143	100x50x50x10	112	0.04956208	0.00032920048000000007
144	100x50x50x10	129	0.4536019	0.0004979374200000001
145	100x50x50x10	180	0.41131714	0.0004883004
146	100x50x50x10	64	0.34133732	0.00019641728000000002
147	100x50x50x10	74	1.0	0.0003672953
148	100x50x50x10	107	0.5797092	0.0003371677
149	100x50x50x10	190	0.4877321	0.0004884292000000001
150	100x50x50x10	133	0.41430515	0.0004884026000000001
151	100x50x50x10	78	0.34007552	0.00038659998000000004
152	100x50x50x10	142	0.60202295	0.00048975232
153	100x50x50x10	99	0.60556847	0.00032598522000000003
154	100x50x50x10	140	0.5507767	0.0005047294
155	100x50x50x10	106	0.7008171	0.00032571786000000003
156	100x50x50x10	107	0.5681164	0.00033900489000000003
157	100x50x50x10	88	0.79370093	0.00032573464000000004
158	100x50x50x10	94	0.44833276	0.00031747278000000004
159	100x50x50x10	198	0.7017217	0.0006569580600000001
160	100x50x50x10	64	0.9484468	0.00019246976000000002
161	100x50x50x10	97	0.8458548	0.00033912461000000006
162	100x50x50x10	118	0.10699313	0.00031835456
163	100x50x50x10	165	0.49908575	0.0004807968
164	100x50x50x10	95	0.8109687	0.00033243255
165	100x50x50x10	121	0.47769806	0.00033595529
166	100x50x50x10	95	0.6833384	0.00033645485000000005
167	100x50x50x10	116	0.3366028	0.0003349152
168	100x50x50x10	134	0.54151297	0.0004899375
169	100x50x50x10	68	0.31086582	0.00033261248000000007
170	100x50x50x10	84	0.68677026	0.00032487000000000005
171	100x50x50x10	112	0.50266147	0.00032575984
172	100x50x50x10	144	0.7683779	0.00048525552
173	100x50x50x10	83	0.26300094	0.00032491512
174	100x50x50x10	116	0.8383974	0.00033120552
175	100x50x50x10	97	0.5541595	0.00032824217999999995
176	100x50x50x10	211	0.27570787	0.0006408681900000001
177	100x50x50x10	91	0.8171563	0.00032326749
178	100x50x50x10	107	0.390944	0.00037022963000000005
179	100x50x50x10	157	0.5898095	0.0005094995400000001
