qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	300_16	103	0.30647027	1.12448e-06	6.48976e-05	0.00011582144	0.0066844528
1	300_16	31	0.823946	1.12448e-06	6.48976e-05	3.4858880000000005e-05	0.0020118256
2	300_16	78	0.68368167	1.12448e-06	6.48976e-05	8.770944e-05	0.0050620128
3	300_16	76	0.80080074	1.12448e-06	6.48976e-05	8.546048e-05	0.0049322176
4	300_16	40	0.888324	1.12448e-06	6.48976e-05	4.4979200000000005e-05	0.002595904
5	300_16	113	0.74912125	1.12448e-06	6.48976e-05	0.00012706624	0.0073334288
6	300_16	102	0.5474322	1.12448e-06	6.48976e-05	0.00011469696	0.0066195552
7	300_16	103	0.46545333	1.12448e-06	6.48976e-05	0.00011582144	0.0066844528
8	300_16	112	0.30639032	1.12448e-06	6.48976e-05	0.00012594176	0.0072685312
9	300_16	122	0.4589238	1.12448e-06	6.48976e-05	0.00013718656	0.0079175072
10	300_16	89	0.31327313	1.12448e-06	6.48976e-05	0.00010007872	0.0057758864
11	300_16	39	0.7468617	1.12448e-06	6.48976e-05	4.385472e-05	0.0025310064
12	300_16	129	0.6135635	1.12448e-06	6.48976e-05	0.00014505792	0.0083717904
13	300_16	42	0.59078836	1.12448e-06	6.48976e-05	4.722816e-05	0.0027256992
14	300_16	93	0.28745013	1.12448e-06	6.48976e-05	0.00010457664	0.0060354768
15	300_16	151	0.44979277	1.12448e-06	6.48976e-05	0.00016979648	0.0097995376
16	300_16	165	0.44831535	1.12448e-06	6.48976e-05	0.0001855392	0.010708104
17	300_16	73	0.27215335	1.12448e-06	6.48976e-05	8.208704e-05	0.0047375248
18	300_16	93	0.21278428	1.12448e-06	6.48976e-05	0.00010457664	0.0060354768
19	300_16	114	0.47971994	1.12448e-06	6.48976e-05	0.00012819072	0.0073983264
20	300_16	79	0.67801356	1.12448e-06	6.48976e-05	8.883392e-05	0.0051269104
21	300_16	62	0.6858394	1.12448e-06	6.48976e-05	6.971776000000001e-05	0.0040236512
22	300_16	140	0.6330126	1.12448e-06	6.48976e-05	0.0001574272	0.009085664
23	300_16	355	0.33905947	1.12448e-06	6.48976e-05	0.0003991904	0.023038648
24	300_16	89	0.38450617	1.12448e-06	6.48976e-05	0.00010007872	0.0057758864
25	300_16	125	0.52801704	1.12448e-06	6.48976e-05	0.00014056	0.0081122
26	300_16	160	0.52919745	1.12448e-06	6.48976e-05	0.0001799168	0.010383616
27	300_16	168	0.68288743	1.12448e-06	6.48976e-05	0.00018891264	0.0109027968
28	300_16	160	0.44604537	1.12448e-06	6.48976e-05	0.0001799168	0.010383616
29	300_16	150	0.17034964	1.12448e-06	6.48976e-05	0.000168672	0.00973464
30	300_16	67	0.7746772	1.12448e-06	6.48976e-05	7.534016e-05	0.0043481392
31	300_16	187	0.5545672	1.12448e-06	6.48976e-05	0.00021027776	0.0121358512
32	300_16	180	0.37664667	1.12448e-06	6.48976e-05	0.0002024064	0.011681568
33	300_16	180	0.22848445	1.12448e-06	6.48976e-05	0.0002024064	0.011681568
34	300_16	128	0.61354786	1.12448e-06	6.48976e-05	0.00014393344	0.0083068928
35	300_16	51	0.47577813	1.12448e-06	6.48976e-05	5.734848000000001e-05	0.0033097776
36	300_16	99	0.8459275	1.12448e-06	6.48976e-05	0.00011132352	0.0064248624
37	300_16	128	0.74709076	1.12448e-06	6.48976e-05	0.00014393344	0.0083068928
38	300_16	78	0.57948583	1.12448e-06	6.48976e-05	8.770944e-05	0.0050620128
39	300_16	51	0.6930052	1.12448e-06	6.48976e-05	5.734848000000001e-05	0.0033097776
40	300_16	67	0.3300451	1.12448e-06	6.48976e-05	7.534016e-05	0.0043481392
41	300_16	29	0.23719771	1.12448e-06	6.48976e-05	3.260992e-05	0.0018820304
42	300_16	59	0.29181454	1.12448e-06	6.48976e-05	6.634432000000001e-05	0.0038289584
43	300_16	284	0.5472514	1.12448e-06	6.48976e-05	0.00031935232	0.0184309184
44	300_16	52	0.47506696	1.12448e-06	6.48976e-05	5.8472960000000005e-05	0.0033746752
45	300_16	114	0.6090457	1.12448e-06	6.48976e-05	0.00012819072	0.0073983264
46	300_16	132	0.6948569	1.12448e-06	6.48976e-05	0.00014843136	0.0085664832
47	300_16	86	0.75706327	1.12448e-06	6.48976e-05	9.670528e-05	0.0055811936
48	300_16	77	0.46139652	1.12448e-06	6.48976e-05	8.658496000000001e-05	0.0049971152
49	300_16	130	0.65667415	1.12448e-06	6.48976e-05	0.0001461824	0.008436688
50	300_16	85	0.4921865	1.12448e-06	6.48976e-05	9.55808e-05	0.005516296
51	300_16	83	0.65311027	1.12448e-06	6.48976e-05	9.333184e-05	0.0053865008
52	300_16	66	0.79930055	1.12448e-06	6.48976e-05	7.421568e-05	0.0042832416
53	300_16	125	0.28804278	1.12448e-06	6.48976e-05	0.00014056	0.0081122
54	300_16	80	0.5569418	1.12448e-06	6.48976e-05	8.995840000000001e-05	0.005191808
55	300_16	169	0.6592095	1.12448e-06	6.48976e-05	0.00019003712	0.0109676944
56	300_16	78	0.6943183	1.12448e-06	6.48976e-05	8.770944e-05	0.0050620128
