qid	model	doc_per_query	nDCG	time
0	100x25x25x10	103	0.3694923	0.000209502
1	100x25x25x10	31	0.8541764	0.00011582251
2	100x25x25x10	78	0.7221928	0.00021431514
3	100x25x25x10	76	0.81722134	0.00020805000000000002
4	100x25x25x10	40	0.6113602	0.00012102000000000002
5	100x25x25x10	113	0.6397094	0.00021069754000000004
6	100x25x25x10	102	0.61743784	0.00020992212
7	100x25x25x10	103	0.4904116	0.00020733488000000002
8	100x25x25x10	112	0.4539566	0.00021495264000000004
9	100x25x25x10	122	0.4207499	0.00022356500000000003
10	100x25x25x10	89	0.36212474	0.00021691792000000002
11	100x25x25x10	39	0.7468617	0.00011943008999999999
12	100x25x25x10	129	0.5869145	0.00031816302
13	100x25x25x10	42	0.7319953	0.00012019266000000001
14	100x25x25x10	93	0.24606368	0.00021731961
15	100x25x25x10	151	0.49195585	0.00032942311
16	100x25x25x10	165	0.40314206	0.0003234858
17	100x25x25x10	73	0.27226585	0.00023334012
18	100x25x25x10	93	0.23848714	0.00022201983
19	100x25x25x10	114	0.26986814	0.00021389249999999999
20	100x25x25x10	79	0.6678581	0.00021703985999999999
21	100x25x25x10	62	0.61185545	0.00011976726000000003
22	100x25x25x10	140	0.59878004	0.00031908520000000005
23	100x25x25x10	355	0.31088138	0.00066915725
24	100x25x25x10	89	0.48431408	0.00022450961999999998
25	100x25x25x10	125	0.49632537	0.00021761
26	100x25x25x10	160	0.6072518	0.00032794240000000004
27	100x25x25x10	168	0.7387698	0.00031491432000000004
28	100x25x25x10	160	0.48711646	0.0003265328
29	100x25x25x10	150	0.17034964	0.00033355500000000003
30	100x25x25x10	67	0.773439	0.00021175484000000004
31	100x25x25x10	187	0.5256044	0.00031316703000000003
32	100x25x25x10	180	0.43354768	0.0003198042
33	100x25x25x10	180	0.339518	0.00032141520000000004
34	100x25x25x10	128	0.62401456	0.00021520512
35	100x25x25x10	51	0.53874904	0.00011749227
36	100x25x25x10	99	0.8608854	0.00020768022
37	100x25x25x10	128	0.7919548	0.00021198464000000004
38	100x25x25x10	78	0.57416207	0.00020751276000000003
39	100x25x25x10	51	0.6930052	0.00011670993000000001
40	100x25x25x10	67	0.5522444	0.00022248757000000003
41	100x25x25x10	29	0.3065736	0.0001153475
42	100x25x25x10	59	0.057069726	0.00011712503
