qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
77	878_64	109	0.43650588	1.50355e-05	0.00089426	0.0016388695	0.09747434
78	878_64	103	0.16426516	1.50355e-05	0.00089426	0.0015486565	0.09210878
79	878_64	129	0.43244463	1.50355e-05	0.00089426	0.0019395795	0.11535954
80	878_64	71	0.77317464	1.50355e-05	0.00089426	0.0010675205	0.06349246
81	878_64	83	0.27158156	1.50355e-05	0.00089426	0.0012479465	0.07422358
82	878_64	175	0.45923692	1.50355e-05	0.00089426	0.0026312125	0.1564955
83	878_64	82	0.03984086	1.50355e-05	0.00089426	0.001232911	0.07332932
84	878_64	120	0.22108907	1.50355e-05	0.00089426	0.00180426	0.1073112
85	878_64	53	0.5406122	1.50355e-05	0.00089426	0.0007968815	0.04739578
86	878_64	97	0.93098706	1.50355e-05	0.00089426	0.0014584435	0.08674322
87	878_64	103	0.5238856	1.50355e-05	0.00089426	0.0015486565	0.09210878
88	878_64	44	0.0	1.50355e-05	0.00089426	0.000661562	0.03934744
89	878_64	82	0.75757545	1.50355e-05	0.00089426	0.001232911	0.07332932
90	878_64	136	0.5035297	1.50355e-05	0.00089426	0.002044828	0.12161936
91	878_64	61	0.6366411	1.50355e-05	0.00089426	0.0009171655	0.05454986
92	878_64	99	0.5490268	1.50355e-05	0.00089426	0.0014885145	0.08853174
93	878_64	167	0.11584705	1.50355e-05	0.00089426	0.0025109285	0.14934142
94	878_64	113	0.5728628	1.50355e-05	0.00089426	0.0016990115	0.10105138
95	878_64	164	0.276304	1.50355e-05	0.00089426	0.002465822	0.14665864
96	878_64	36	0.81713253	1.50355e-05	0.00089426	0.000541278	0.03219336
97	878_64	145	0.3571328	1.50355e-05	0.00089426	0.0021801475	0.1296677
98	878_64	175	0.008551543	1.50355e-05	0.00089426	0.0026312125	0.1564955
99	878_64	89	0.5209391	1.50355e-05	0.00089426	0.0013381595	0.07958914
100	878_64	134	0.1700418	1.50355e-05	0.00089426	0.002014757	0.11983084
101	878_64	42	0.6976525	1.50355e-05	0.00089426	0.000631491	0.03755892
102	878_64	155	0.5660912	1.50355e-05	0.00089426	0.0023305025	0.1386103
103	878_64	60	0.54647696	1.50355e-05	0.00089426	0.00090213	0.0536556
104	878_64	142	0.44283345	1.50355e-05	0.00089426	0.002135041	0.12698492
105	878_64	187	0.59992963	1.50355e-05	0.00089426	0.0028116385	0.16722662
106	878_64	71	0.44951072	1.50355e-05	0.00089426	0.0010675205	0.06349246
107	878_64	103	0.15632552	1.50355e-05	0.00089426	0.0015486565	0.09210878
108	878_64	175	0.44770584	1.50355e-05	0.00089426	0.0026312125	0.1564955
109	878_64	113	0.65451795	1.50355e-05	0.00089426	0.0016990115	0.10105138
110	878_64	172	0.50736594	1.50355e-05	0.00089426	0.002586106	0.15381272
111	878_64	169	0.4061574	1.50355e-05	0.00089426	0.0025409995	0.15112994
112	878_64	147	0.38828567	1.50355e-05	0.00089426	0.0022102185	0.13145622
113	878_64	121	0.8294623	1.50355e-05	0.00089426	0.0018192955	0.10820546
114	878_64	198	0.7591335	1.50355e-05	0.00089426	0.002977029	0.17706348
115	878_64	75	0.3302301	1.50355e-05	0.00089426	0.0011276625	0.0670695
116	878_64	114	0.70437145	1.50355e-05	0.00089426	0.001714047	0.10194564
117	878_64	110	0.20250593	1.50355e-05	0.00089426	0.001653905	0.0983686
118	878_64	84	0.7440371	1.50355e-05	0.00089426	0.001262982	0.07511784
119	878_64	118	0.3861824	1.50355e-05	0.00089426	0.001774189	0.10552268
120	878_64	112	0.51637614	1.50355e-05	0.00089426	0.001683976	0.10015712
121	878_64	107	0.4767558	1.50355e-05	0.00089426	0.0016087985	0.09568582
122	878_64	79	0.73026425	1.50355e-05	0.00089426	0.0011878045	0.07064654
123	878_64	127	0.3747804	1.50355e-05	0.00089426	0.0019095085	0.11357102
124	878_64	142	0.88789845	1.50355e-05	0.00089426	0.002135041	0.12698492
125	878_64	167	0.45347944	1.50355e-05	0.00089426	0.0025109285	0.14934142
126	878_64	70	0.5328913	1.50355e-05	0.00089426	0.001052485	0.0625982
127	878_64	176	0.32080686	1.50355e-05	0.00089426	0.002646248	0.15738976
128	878_64	86	0.4161971	1.50355e-05	0.00089426	0.001293053	0.07690636
129	878_64	121	0.61447984	1.50355e-05	0.00089426	0.0018192955	0.10820546
130	878_64	137	0.50436246	1.50355e-05	0.00089426	0.0020598635	0.12251362
131	878_64	226	0.49331012	1.50355e-05	0.00089426	0.003398023	0.20210276
132	878_64	21	0.59085286	1.50355e-05	0.00089426	0.0003157455	0.01877946
133	878_64	83	0.35772368	1.50355e-05	0.00089426	0.0012479465	0.07422358
134	878_64	101	0.731011	1.50355e-05	0.00089426	0.0015185855	0.09032026
135	878_64	151	0.52912045	1.50355e-05	0.00089426	0.0022703605	0.13503326
136	878_64	109	0.49200597	1.50355e-05	0.00089426	0.0016388695	0.09747434
137	878_64	72	0.90254575	1.50355e-05	0.00089426	0.001082556	0.06438672
138	878_64	114	0.42066404	1.50355e-05	0.00089426	0.001714047	0.10194564
139	878_64	73	0.6500545	1.50355e-05	0.00089426	0.0010975915	0.06528098
140	878_64	70	0.46580097	1.50355e-05	0.00089426	0.001052485	0.0625982
141	878_64	53	0.9040379	1.50355e-05	0.00089426	0.0007968815	0.04739578
142	878_64	131	0.31574506	1.50355e-05	0.00089426	0.0019696505	0.11714806
143	878_64	112	0.16057152	1.50355e-05	0.00089426	0.001683976	0.10015712
144	878_64	129	0.4448649	1.50355e-05	0.00089426	0.0019395795	0.11535954
145	878_64	180	0.3542519	1.50355e-05	0.00089426	0.00270639	0.1609668
146	878_64	64	0.36118338	1.50355e-05	0.00089426	0.000962272	0.05723264
147	878_64	74	1.0	1.50355e-05	0.00089426	0.001112627	0.06617524
148	878_64	107	0.6611455	1.50355e-05	0.00089426	0.0016087985	0.09568582
149	878_64	190	0.44656107	1.50355e-05	0.00089426	0.002856745	0.1699094
150	878_64	133	0.5473863	1.50355e-05	0.00089426	0.0019997215	0.11893658
151	878_64	78	0.27415374	1.50355e-05	0.00089426	0.001172769	0.06975228
152	878_64	142	0.6397321	1.50355e-05	0.00089426	0.002135041	0.12698492
153	878_64	99	0.67689216	1.50355e-05	0.00089426	0.0014885145	0.08853174
154	878_64	140	0.541985	1.50355e-05	0.00089426	0.00210497	0.1251964
155	878_64	106	0.76849735	1.50355e-05	0.00089426	0.001593763	0.09479156
156	878_64	107	0.72228867	1.50355e-05	0.00089426	0.0016087985	0.09568582
157	878_64	88	0.7892567	1.50355e-05	0.00089426	0.001323124	0.07869488
158	878_64	94	0.34749037	1.50355e-05	0.00089426	0.001413337	0.08406044
159	878_64	198	0.72879815	1.50355e-05	0.00089426	0.002977029	0.17706348
160	878_64	64	0.9484468	1.50355e-05	0.00089426	0.000962272	0.05723264
161	878_64	97	0.713135	1.50355e-05	0.00089426	0.0014584435	0.08674322
162	878_64	118	0.20909053	1.50355e-05	0.00089426	0.001774189	0.10552268
163	878_64	165	0.59047294	1.50355e-05	0.00089426	0.0024808575	0.1475529
164	878_64	95	0.82765985	1.50355e-05	0.00089426	0.0014283725	0.0849547
165	878_64	121	0.58848363	1.50355e-05	0.00089426	0.0018192955	0.10820546
166	878_64	95	0.48259932	1.50355e-05	0.00089426	0.0014283725	0.0849547
167	878_64	116	0.7514503	1.50355e-05	0.00089426	0.001744118	0.10373416
168	878_64	134	0.63123053	1.50355e-05	0.00089426	0.002014757	0.11983084
169	878_64	68	0.39325914	1.50355e-05	0.00089426	0.001022414	0.06080968
170	878_64	84	0.9392164	1.50355e-05	0.00089426	0.001262982	0.07511784
171	878_64	112	0.47047222	1.50355e-05	0.00089426	0.001683976	0.10015712
172	878_64	144	0.7994739	1.50355e-05	0.00089426	0.002165112	0.12877344
173	878_64	83	0.20622832	1.50355e-05	0.00089426	0.0012479465	0.07422358
174	878_64	116	0.6378009	1.50355e-05	0.00089426	0.001744118	0.10373416
175	878_64	97	0.6171085	1.50355e-05	0.00089426	0.0014584435	0.08674322
176	878_64	211	0.23155339	1.50355e-05	0.00089426	0.0031724905	0.18868886
177	878_64	91	0.8390664	1.50355e-05	0.00089426	0.0013682305	0.08137766
178	878_64	107	0.39382803	1.50355e-05	0.00089426	0.0016087985	0.09568582
179	878_64	157	0.5712805	1.50355e-05	0.00089426	0.0023605735	0.14039882
180	878_64	153	0.5085654	1.50355e-05	0.00089426	0.0023004315	0.13682178
181	878_64	109	0.6834488	1.50355e-05	0.00089426	0.0016388695	0.09747434
182	878_64	148	0.63201815	1.50355e-05	0.00089426	0.002225254	0.13235048
183	878_64	32	0.7703502	1.50355e-05	0.00089426	0.000481136	0.02861632
184	878_64	93	0.24715762	1.50355e-05	0.00089426	0.0013983015	0.08316618
185	878_64	118	0.6231351	1.50355e-05	0.00089426	0.001774189	0.10552268
186	878_64	113	0.54773647	1.50355e-05	0.00089426	0.0016990115	0.10105138
187	878_64	97	0.31703776	1.50355e-05	0.00089426	0.0014584435	0.08674322
188	878_64	99	0.43985954	1.50355e-05	0.00089426	0.0014885145	0.08853174
189	878_64	93	0.034117904	1.50355e-05	0.00089426	0.0013983015	0.08316618
190	878_64	127	0.61179525	1.50355e-05	0.00089426	0.0019095085	0.11357102
191	878_64	108	0.6443533	1.50355e-05	0.00089426	0.001623834	0.09658008
192	878_64	139	0.68656254	1.50355e-05	0.00089426	0.0020899345	0.12430214
193	878_64	125	0.87080175	1.50355e-05	0.00089426	0.0018794375	0.1117825
194	878_64	84	0.53787386	1.50355e-05	0.00089426	0.001262982	0.07511784
195	878_64	68	0.5045191	1.50355e-05	0.00089426	0.001022414	0.06080968
196	878_64	27	0.61879766	1.50355e-05	0.00089426	0.0004059585	0.02414502
197	878_64	112	0.4961099	1.50355e-05	0.00089426	0.001683976	0.10015712
198	878_64	191	0.3072788	1.50355e-05	0.00089426	0.0028717805	0.17080366
199	878_64	75	0.44659182	1.50355e-05	0.00089426	0.0011276625	0.0670695
200	878_64	79	0.35390264	1.50355e-05	0.00089426	0.0011878045	0.07064654
201	878_64	117	0.36308953	1.50355e-05	0.00089426	0.0017591535	0.10462842
202	878_64	106	0.8189265	1.50355e-05	0.00089426	0.001593763	0.09479156
203	878_64	81	0.59059906	1.50355e-05	0.00089426	0.0012178755	0.07243506
204	878_64	73	0.3066241	1.50355e-05	0.00089426	0.0010975915	0.06528098
205	878_64	106	0.5606502	1.50355e-05	0.00089426	0.001593763	0.09479156
206	878_64	90	0.7360168	1.50355e-05	0.00089426	0.001353195	0.0804834
207	878_64	64	0.4801851	1.50355e-05	0.00089426	0.000962272	0.05723264
208	878_64	89	0.3407839	1.50355e-05	0.00089426	0.0013381595	0.07958914
209	878_64	118	0.0	1.50355e-05	0.00089426	0.001774189	0.10552268
210	878_64	85	0.6887537	1.50355e-05	0.00089426	0.0012780175	0.0760121
211	878_64	79	0.4664436	1.50355e-05	0.00089426	0.0011878045	0.07064654
212	878_64	50	0.9657811	1.50355e-05	0.00089426	0.000751775	0.044713
213	878_64	229	0.4926619	1.50355e-05	0.00089426	0.0034431295	0.20478554
214	878_64	53	1.0	1.50355e-05	0.00089426	0.0007968815	0.04739578
215	878_64	100	0.0	1.50355e-05	0.00089426	0.00150355	0.089426
216	878_64	109	0.44228852	1.50355e-05	0.00089426	0.0016388695	0.09747434
217	878_64	65	0.89320767	1.50355e-05	0.00089426	0.0009773075	0.0581269
218	878_64	162	0.45168692	1.50355e-05	0.00089426	0.002435751	0.14487012
219	878_64	34	1.0	1.50355e-05	0.00089426	0.000511207	0.03040484
220	878_64	202	0.4635846	1.50355e-05	0.00089426	0.003037171	0.18064052
221	878_64	120	0.37159225	1.50355e-05	0.00089426	0.00180426	0.1073112
222	878_64	71	0.68315214	1.50355e-05	0.00089426	0.0010675205	0.06349246
223	878_64	103	0.5343174	1.50355e-05	0.00089426	0.0015486565	0.09210878
224	878_64	142	0.66114396	1.50355e-05	0.00089426	0.002135041	0.12698492
225	878_64	109	0.0	1.50355e-05	0.00089426	0.0016388695	0.09747434
226	878_64	138	0.45906672	1.50355e-05	0.00089426	0.002074899	0.12340788
227	878_64	138	0.5919555	1.50355e-05	0.00089426	0.002074899	0.12340788
228	878_64	74	0.8791879	1.50355e-05	0.00089426	0.001112627	0.06617524
229	878_64	108	0.7935872	1.50355e-05	0.00089426	0.001623834	0.09658008
230	878_64	110	0.03647535	1.50355e-05	0.00089426	0.001653905	0.0983686
231	878_64	154	0.29011923	1.50355e-05	0.00089426	0.002315467	0.13771604
232	878_64	202	0.70077163	1.50355e-05	0.00089426	0.003037171	0.18064052
233	878_64	149	0.12329285	1.50355e-05	0.00089426	0.0022402895	0.13324474
234	878_64	68	0.16412942	1.50355e-05	0.00089426	0.001022414	0.06080968
235	878_64	55	0.94281656	1.50355e-05	0.00089426	0.0008269525	0.0491843
236	878_64	49	0.041720927	1.50355e-05	0.00089426	0.0007367395	0.04381874
237	878_64	104	0.20956665	1.50355e-05	0.00089426	0.001563692	0.09300304
238	878_64	180	0.75099623	1.50355e-05	0.00089426	0.00270639	0.1609668
239	878_64	124	0.8944717	1.50355e-05	0.00089426	0.001864402	0.11088824
240	878_64	73	0.38364914	1.50355e-05	0.00089426	0.0010975915	0.06528098
241	878_64	94	0.30887255	1.50355e-05	0.00089426	0.001413337	0.08406044
242	878_64	100	0.7661843	1.50355e-05	0.00089426	0.00150355	0.089426
243	878_64	121	0.44473836	1.50355e-05	0.00089426	0.0018192955	0.10820546
244	878_64	107	0.6536533	1.50355e-05	0.00089426	0.0016087985	0.09568582
245	878_64	206	0.15483654	1.50355e-05	0.00089426	0.003097313	0.18421756
246	878_64	85	0.0	1.50355e-05	0.00089426	0.0012780175	0.0760121
247	878_64	111	0.46059686	1.50355e-05	0.00089426	0.0016689405	0.09926286
248	878_64	140	0.41825232	1.50355e-05	0.00089426	0.00210497	0.1251964
249	878_64	10	0.5640921	1.50355e-05	0.00089426	0.000150355	0.0089426
250	878_64	128	0.20175241	1.50355e-05	0.00089426	0.001924544	0.11446528
251	878_64	165	0.61999637	1.50355e-05	0.00089426	0.0024808575	0.1475529
252	878_64	100	0.4991462	1.50355e-05	0.00089426	0.00150355	0.089426
253	878_64	77	0.7403316	1.50355e-05	0.00089426	0.0011577335	0.06885802
254	878_64	87	0.14580931	1.50355e-05	0.00089426	0.0013080885	0.07780062
255	878_64	157	0.21144396	1.50355e-05	0.00089426	0.0023605735	0.14039882
256	878_64	64	0.12750025	1.50355e-05	0.00089426	0.000962272	0.05723264
257	878_64	161	0.27255753	1.50355e-05	0.00089426	0.0024207155	0.14397586
258	878_64	81	0.63467306	1.50355e-05	0.00089426	0.0012178755	0.07243506
259	878_64	179	0.29393497	1.50355e-05	0.00089426	0.0026913545	0.16007254
260	878_64	147	0.2554105	1.50355e-05	0.00089426	0.0022102185	0.13145622
261	878_64	141	0.64298975	1.50355e-05	0.00089426	0.0021200055	0.12609066
262	878_64	91	0.76409364	1.50355e-05	0.00089426	0.0013682305	0.08137766
263	878_64	124	0.8174209	1.50355e-05	0.00089426	0.001864402	0.11088824
264	878_64	75	0.3530403	1.50355e-05	0.00089426	0.0011276625	0.0670695
265	878_64	68	0.74260134	1.50355e-05	0.00089426	0.001022414	0.06080968
266	878_64	113	0.5450113	1.50355e-05	0.00089426	0.0016990115	0.10105138
267	878_64	16	1.0	1.50355e-05	0.00089426	0.000240568	0.01430816
268	878_64	138	0.07336392	1.50355e-05	0.00089426	0.002074899	0.12340788
269	878_64	191	0.4814835	1.50355e-05	0.00089426	0.0028717805	0.17080366
270	878_64	69	0.618787	1.50355e-05	0.00089426	0.0010374495	0.06170394
271	878_64	76	0.65076864	1.50355e-05	0.00089426	0.001142698	0.06796376
272	878_64	111	0.24495524	1.50355e-05	0.00089426	0.0016689405	0.09926286
273	878_64	73	0.464409	1.50355e-05	0.00089426	0.0010975915	0.06528098
274	878_64	61	0.67366976	1.50355e-05	0.00089426	0.0009171655	0.05454986
275	878_64	63	0.58196306	1.50355e-05	0.00089426	0.0009472365	0.05633838
276	878_64	149	0.19883281	1.50355e-05	0.00089426	0.0022402895	0.13324474
277	878_64	104	0.8251637	1.50355e-05	0.00089426	0.001563692	0.09300304
278	878_64	95	0.27150378	1.50355e-05	0.00089426	0.0014283725	0.0849547
279	878_64	160	0.5284127	1.50355e-05	0.00089426	0.00240568	0.1430816
280	878_64	73	0.5600926	1.50355e-05	0.00089426	0.0010975915	0.06528098
281	878_64	90	0.23158075	1.50355e-05	0.00089426	0.001353195	0.0804834
282	878_64	64	0.2172607	1.50355e-05	0.00089426	0.000962272	0.05723264
283	878_64	113	0.38953033	1.50355e-05	0.00089426	0.0016990115	0.10105138
284	878_64	493	0.26112604	1.50355e-05	0.00089426	0.0074125015	0.44087018
285	878_64	122	0.53710604	1.50355e-05	0.00089426	0.001834331	0.10909972
286	878_64	221	0.4305591	1.50355e-05	0.00089426	0.0033228455	0.19763146
287	878_64	103	0.3307255	1.50355e-05	0.00089426	0.0015486565	0.09210878
288	878_64	67	0.5808	1.50355e-05	0.00089426	0.0010073785	0.05991542
289	878_64	102	0.80962473	1.50355e-05	0.00089426	0.001533621	0.09121452
290	878_64	105	0.5229228	1.50355e-05	0.00089426	0.0015787275	0.0938973
291	878_64	63	0.34213305	1.50355e-05	0.00089426	0.0009472365	0.05633838
292	878_64	74	0.69298524	1.50355e-05	0.00089426	0.001112627	0.06617524
293	878_64	127	0.50832087	1.50355e-05	0.00089426	0.0019095085	0.11357102
294	878_64	39	0.5817991	1.50355e-05	0.00089426	0.0005863845	0.03487614
295	878_64	43	0.48841015	1.50355e-05	0.00089426	0.0006465265	0.03845318
296	878_64	230	0.35280937	1.50355e-05	0.00089426	0.003458165	0.2056798
297	878_64	138	0.8942798	1.50355e-05	0.00089426	0.002074899	0.12340788
298	878_64	161	0.337329	1.50355e-05	0.00089426	0.0024207155	0.14397586
299	878_64	99	0.72864074	1.50355e-05	0.00089426	0.0014885145	0.08853174
300	878_64	83	0.40054205	1.50355e-05	0.00089426	0.0012479465	0.07422358
301	878_64	94	0.43569687	1.50355e-05	0.00089426	0.001413337	0.08406044
302	878_64	81	0.53069717	1.50355e-05	0.00089426	0.0012178755	0.07243506
303	878_64	177	0.5908729	1.50355e-05	0.00089426	0.0026612835	0.15828402
304	878_64	162	0.6992413	1.50355e-05	0.00089426	0.002435751	0.14487012
305	878_64	204	0.7031975	1.50355e-05	0.00089426	0.003067242	0.18242904
306	878_64	162	0.5230499	1.50355e-05	0.00089426	0.002435751	0.14487012
307	878_64	200	0.7120024	1.50355e-05	0.00089426	0.0030071	0.178852
308	878_64	122	0.75311166	1.50355e-05	0.00089426	0.001834331	0.10909972
309	878_64	281	0.29805315	1.50355e-05	0.00089426	0.0042249755	0.25128706
310	878_64	169	0.26886162	1.50355e-05	0.00089426	0.0025409995	0.15112994
311	878_64	68	0.6503373	1.50355e-05	0.00089426	0.001022414	0.06080968
312	878_64	65	0.313832	1.50355e-05	0.00089426	0.0009773075	0.0581269
313	878_64	138	0.70063925	1.50355e-05	0.00089426	0.002074899	0.12340788
314	878_64	77	0.4170298	1.50355e-05	0.00089426	0.0011577335	0.06885802
315	878_64	125	0.8187289	1.50355e-05	0.00089426	0.0018794375	0.1117825
316	878_64	57	0.6956192	1.50355e-05	0.00089426	0.0008570235	0.05097282
317	878_64	59	0.8764167	1.50355e-05	0.00089426	0.0008870945	0.05276134
318	878_64	146	0.52994806	1.50355e-05	0.00089426	0.002195183	0.13056196
319	878_64	130	0.7730034	1.50355e-05	0.00089426	0.001954615	0.1162538
320	878_64	93	0.7090347	1.50355e-05	0.00089426	0.0013983015	0.08316618
321	878_64	246	0.20776369	1.50355e-05	0.00089426	0.003698733	0.21998796
322	878_64	104	1.0	1.50355e-05	0.00089426	0.001563692	0.09300304
323	878_64	156	0.74515814	1.50355e-05	0.00089426	0.002345538	0.13950456
