qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	100_8	103	0.28104103	2.86925e-07	1.65967e-05	2.9553275e-05	0.0017094601
1	100_8	31	0.79923844	2.86925e-07	1.65967e-05	8.894675e-06	0.0005144977
2	100_8	78	0.7541581	2.86925e-07	1.65967e-05	2.238015e-05	0.0012945426
3	100_8	76	0.7705913	2.86925e-07	1.65967e-05	2.18063e-05	0.0012613492
4	100_8	40	0.9072032	2.86925e-07	1.65967e-05	1.1477e-05	0.000663868
5	100_8	113	0.677822	2.86925e-07	1.65967e-05	3.2422525e-05	0.0018754271
6	100_8	102	0.6597719	2.86925e-07	1.65967e-05	2.926635e-05	0.0016928633999999
7	100_8	103	0.51590765	2.86925e-07	1.65967e-05	2.9553275e-05	0.0017094601
8	100_8	112	0.33986303	2.86925e-07	1.65967e-05	3.2135600000000005e-05	0.0018588304
9	100_8	122	0.52350706	2.86925e-07	1.65967e-05	3.5004850000000004e-05	0.0020247974
10	100_8	89	0.3344488	2.86925e-07	1.65967e-05	2.5536325e-05	0.0014771063
11	100_8	39	0.7755467	2.86925e-07	1.65967e-05	1.1190075e-05	0.0006472713
12	100_8	129	0.67617303	2.86925e-07	1.65967e-05	3.7013325e-05	0.0021409743
13	100_8	42	0.6260585	2.86925e-07	1.65967e-05	1.205085e-05	0.0006970614
14	100_8	93	0.28834257	2.86925e-07	1.65967e-05	2.6684025e-05	0.0015434931
15	100_8	151	0.51199865	2.86925e-07	1.65967e-05	4.3325675e-05	0.0025061017
16	100_8	165	0.45797643	2.86925e-07	1.65967e-05	4.7342625000000005e-05	0.0027384555
17	100_8	73	0.27215335	2.86925e-07	1.65967e-05	2.0945525e-05	0.0012115590999999
18	100_8	93	0.13434629	2.86925e-07	1.65967e-05	2.6684025e-05	0.0015434931
19	100_8	114	0.46765053	2.86925e-07	1.65967e-05	3.270945e-05	0.0018920238
20	100_8	79	0.59940684	2.86925e-07	1.65967e-05	2.2667075e-05	0.0013111393
21	100_8	62	0.6609927	2.86925e-07	1.65967e-05	1.778935e-05	0.0010289954
22	100_8	140	0.6123363	2.86925e-07	1.65967e-05	4.01695e-05	0.002323538
23	100_8	355	0.3701409	2.86925e-07	1.65967e-05	0.000101858375	0.0058918285
24	100_8	89	0.3138511	2.86925e-07	1.65967e-05	2.5536325e-05	0.0014771063
25	100_8	125	0.5527165	2.86925e-07	1.65967e-05	3.5865625e-05	0.0020745875
26	100_8	160	0.48228514	2.86925e-07	1.65967e-05	4.5908e-05	0.002655472
27	100_8	168	0.6406143	2.86925e-07	1.65967e-05	4.82034e-05	0.0027882456
28	100_8	160	0.52740246	2.86925e-07	1.65967e-05	4.5908e-05	0.002655472
29	100_8	150	0.21495733	2.86925e-07	1.65967e-05	4.303875e-05	0.002489505
30	100_8	67	0.7469316	2.86925e-07	1.65967e-05	1.9223975e-05	0.0011119788999999
31	100_8	187	0.6430166	2.86925e-07	1.65967e-05	5.3654975e-05	0.0031035829
32	100_8	180	0.3458369	2.86925e-07	1.65967e-05	5.16465e-05	0.002987406
33	100_8	180	0.17143673	2.86925e-07	1.65967e-05	5.16465e-05	0.002987406
34	100_8	128	0.6289859	2.86925e-07	1.65967e-05	3.67264e-05	0.0021243776
35	100_8	51	0.44231808	2.86925e-07	1.65967e-05	1.4633175e-05	0.0008464316999999
36	100_8	99	0.82525	2.86925e-07	1.65967e-05	2.8405575e-05	0.0016430733
37	100_8	128	0.8047399	2.86925e-07	1.65967e-05	3.67264e-05	0.0021243776
38	100_8	78	0.51148915	2.86925e-07	1.65967e-05	2.238015e-05	0.0012945426
39	100_8	51	0.6748334	2.86925e-07	1.65967e-05	1.4633175e-05	0.0008464316999999
