qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	500_64	103	0.31383884	9.19204e-06	0.000545946	0.00094678012	0.0562324379999999
1	500_64	31	0.8518427	9.19204e-06	0.000545946	0.00028495324	0.016924326
2	500_64	78	0.65767276	9.19204e-06	0.000545946	0.00071697912	0.042583788
3	500_64	76	0.8011518	9.19204e-06	0.000545946	0.00069859504	0.0414918959999999
4	500_64	40	0.88523936	9.19204e-06	0.000545946	0.0003676816	0.0218378399999999
5	500_64	113	0.74912125	9.19204e-06	0.000545946	0.00103870052	0.0616918979999999
6	500_64	102	0.71281576	9.19204e-06	0.000545946	0.00093758808	0.055686492
7	500_64	103	0.4599983	9.19204e-06	0.000545946	0.00094678012	0.0562324379999999
8	500_64	112	0.28884414	9.19204e-06	0.000545946	0.00102950848	0.0611459519999999
9	500_64	122	0.4975519	9.19204e-06	0.000545946	0.00112142888	0.0666054119999999
10	500_64	89	0.32247815	9.19204e-06	0.000545946	0.00081809156	0.0485891939999999
11	500_64	39	0.7304835	9.19204e-06	0.000545946	0.00035848956	0.021291894
12	500_64	129	0.56319785	9.19204e-06	0.000545946	0.00118577316	0.070427034
13	500_64	42	0.60159916	9.19204e-06	0.000545946	0.00038606568	0.0229297319999999
14	500_64	93	0.22350752	9.19204e-06	0.000545946	0.00085485972	0.0507729779999999
15	500_64	151	0.39821678	9.19204e-06	0.000545946	0.00138799804	0.082437846
16	500_64	165	0.48268297	9.19204e-06	0.000545946	0.0015166866	0.0900810899999999
17	500_64	73	0.30863717	9.19204e-06	0.000545946	0.00067101892	0.039854058
18	500_64	93	0.2952305	9.19204e-06	0.000545946	0.00085485972	0.0507729779999999
19	500_64	114	0.4120523	9.19204e-06	0.000545946	0.00104789256	0.0622378439999999
20	500_64	79	0.68344235	9.19204e-06	0.000545946	0.00072617116	0.0431297339999999
21	500_64	62	0.69647765	9.19204e-06	0.000545946	0.00056990648	0.033848652
22	500_64	140	0.6224553	9.19204e-06	0.000545946	0.0012868856	0.0764324399999999
23	500_64	355	0.30342212	9.19204e-06	0.000545946	0.0032631742	0.19381083
24	500_64	89	0.4550345	9.19204e-06	0.000545946	0.00081809156	0.0485891939999999
25	500_64	125	0.5245098	9.19204e-06	0.000545946	0.001149005	0.0682432499999999
26	500_64	160	0.631102	9.19204e-06	0.000545946	0.0014707264	0.0873513599999999
27	500_64	168	0.69987774	9.19204e-06	0.000545946	0.00154426272	0.0917189279999999
28	500_64	160	0.44723493	9.19204e-06	0.000545946	0.0014707264	0.0873513599999999
29	500_64	150	0.21495733	9.19204e-06	0.000545946	0.001378806	0.0818918999999999
30	500_64	67	0.7848489	9.19204e-06	0.000545946	0.00061586668	0.036578382
31	500_64	187	0.54259914	9.19204e-06	0.000545946	0.00171891148	0.1020919019999999
32	500_64	180	0.4216354	9.19204e-06	0.000545946	0.0016545672	0.0982702799999999
33	500_64	180	0.36374328	9.19204e-06	0.000545946	0.0016545672	0.0982702799999999
34	500_64	128	0.6185192	9.19204e-06	0.000545946	0.00117658112	0.069881088
35	500_64	51	0.56188744	9.19204e-06	0.000545946	0.00046879404	0.027843246
36	500_64	99	0.8305043	9.19204e-06	0.000545946	0.00091001196	0.0540486539999999
37	500_64	128	0.7448484	9.19204e-06	0.000545946	0.00117658112	0.069881088
38	500_64	78	0.6800135	9.19204e-06	0.000545946	0.00071697912	0.042583788
39	500_64	51	0.7997686	9.19204e-06	0.000545946	0.00046879404	0.027843246
40	500_64	67	0.4496987	9.19204e-06	0.000545946	0.00061586668	0.036578382
41	500_64	29	0.21840744	9.19204e-06	0.000545946	0.00026656916	0.015832434
42	500_64	59	0.21186648	9.19204e-06	0.000545946	0.00054233036	0.032210814
43	500_64	284	0.48625448	9.19204e-06	0.000545946	0.00261053936	0.1550486639999999
44	500_64	52	0.47180387	9.19204e-06	0.000545946	0.00047798608	0.0283891919999999
45	500_64	114	0.5911527	9.19204e-06	0.000545946	0.00104789256	0.0622378439999999
46	500_64	132	0.72471714	9.19204e-06	0.000545946	0.00121334928	0.0720648719999999
47	500_64	86	0.5389689	9.19204e-06	0.000545946	0.00079051544	0.0469513559999999
48	500_64	77	0.50542873	9.19204e-06	0.000545946	0.00070778708	0.042037842
49	500_64	130	0.65841126	9.19204e-06	0.000545946	0.0011949652	0.0709729799999999
50	500_64	85	0.51538587	9.19204e-06	0.000545946	0.0007813234	0.0464054099999999
51	500_64	83	0.6308446	9.19204e-06	0.000545946	0.00076293932	0.045313518
52	500_64	66	0.79958785	9.19204e-06	0.000545946	0.00060667464	0.0360324359999999
53	500_64	125	0.25219125	9.19204e-06	0.000545946	0.001149005	0.0682432499999999
54	500_64	80	0.5434906	9.19204e-06	0.000545946	0.0007353632	0.0436756799999999
55	500_64	169	0.76457083	9.19204e-06	0.000545946	0.00155345476	0.092264874
56	500_64	78	0.7456857	9.19204e-06	0.000545946	0.00071697912	0.042583788
57	500_64	54	0.3868528	9.19204e-06	0.000545946	0.00049637016	0.0294810839999999
58	500_64	49	0.56450397	9.19204e-06	0.000545946	0.00045040996	0.0267513539999999
59	500_64	89	0.14804097	9.19204e-06	0.000545946	0.00081809156	0.0485891939999999
60	500_64	79	0.23118691	9.19204e-06	0.000545946	0.00072617116	0.0431297339999999
61	500_64	64	0.8129819	9.19204e-06	0.000545946	0.00058829056	0.034940544
62	500_64	110	0.7410832	9.19204e-06	0.000545946	0.0010111244	0.0600540599999999
63	500_64	67	0.5956743	9.19204e-06	0.000545946	0.00061586668	0.036578382
64	500_64	61	0.51431334	9.19204e-06	0.000545946	0.00056071444	0.0333027059999999
65	500_64	113	0.63037527	9.19204e-06	0.000545946	0.00103870052	0.0616918979999999
66	500_64	117	0.6126242	9.19204e-06	0.000545946	0.00107546868	0.0638756819999999
67	500_64	143	0.4342789	9.19204e-06	0.000545946	0.00131446172	0.0780702779999999
68	500_64	76	0.43167877	9.19204e-06	0.000545946	0.00069859504	0.0414918959999999
69	500_64	95	0.29084092	9.19204e-06	0.000545946	0.0008732438	0.0518648699999999
70	500_64	34	0.28744763	9.19204e-06	0.000545946	0.00031252936	0.018562164
71	500_64	175	0.62322557	9.19204e-06	0.000545946	0.001608607	0.0955405499999999
72	500_64	92	0.29781735	9.19204e-06	0.000545946	0.00084566768	0.050227032
73	500_64	85	0.5695422	9.19204e-06	0.000545946	0.0007813234	0.0464054099999999
74	500_64	53	0.83011264	9.19204e-06	0.000545946	0.00048717812	0.028935138
75	500_64	128	0.3838236	9.19204e-06	0.000545946	0.00117658112	0.069881088
76	500_64	129	0.63064384	9.19204e-06	0.000545946	0.00118577316	0.070427034
77	500_64	109	0.4434959	9.19204e-06	0.000545946	0.00100193236	0.0595081139999999
78	500_64	103	0.18832245	9.19204e-06	0.000545946	0.00094678012	0.0562324379999999
79	500_64	129	0.35280573	9.19204e-06	0.000545946	0.00118577316	0.070427034
80	500_64	71	0.7715635	9.19204e-06	0.000545946	0.00065263484	0.0387621659999999
81	500_64	83	0.20861939	9.19204e-06	0.000545946	0.00076293932	0.045313518
82	500_64	175	0.5232948	9.19204e-06	0.000545946	0.001608607	0.0955405499999999
83	500_64	82	0.0470558	9.19204e-06	0.000545946	0.00075374728	0.044767572
84	500_64	120	0.28618056	9.19204e-06	0.000545946	0.0011030448	0.0655135199999999
85	500_64	53	0.5180361	9.19204e-06	0.000545946	0.00048717812	0.028935138
86	500_64	97	0.88789296	9.19204e-06	0.000545946	0.00089162788	0.052956762
