qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	300_8	103	0.2835586	6.643e-07	3.87938e-05	6.84229e-05	0.0039957614
1	300_8	31	0.8435577	6.643e-07	3.87938e-05	2.05933e-05	0.0012026078
2	300_8	78	0.6953137	6.643e-07	3.87938e-05	5.1815400000000005e-05	0.0030259164
3	300_8	76	0.8318947	6.643e-07	3.87938e-05	5.0486800000000006e-05	0.0029483288
4	300_8	40	0.8783281	6.643e-07	3.87938e-05	2.6572e-05	0.001551752
5	300_8	113	0.6485201	6.643e-07	3.87938e-05	7.506590000000001e-05	0.0043836994
6	300_8	102	0.6547313	6.643e-07	3.87938e-05	6.77586e-05	0.0039569676
7	300_8	103	0.5128136	6.643e-07	3.87938e-05	6.84229e-05	0.0039957614
8	300_8	112	0.39475015	6.643e-07	3.87938e-05	7.440160000000001e-05	0.0043449056
9	300_8	122	0.498082	6.643e-07	3.87938e-05	8.10446e-05	0.0047328436
10	300_8	89	0.32166496	6.643e-07	3.87938e-05	5.91227e-05	0.0034526482
11	300_8	39	0.7468617	6.643e-07	3.87938e-05	2.5907700000000003e-05	0.0015129582
12	300_8	129	0.5981589	6.643e-07	3.87938e-05	8.56947e-05	0.0050044002
13	300_8	42	0.47477707	6.643e-07	3.87938e-05	2.79006e-05	0.0016293396
14	300_8	93	0.2921236	6.643e-07	3.87938e-05	6.17799e-05	0.0036078234
15	300_8	151	0.42010465	6.643e-07	3.87938e-05	0.0001003093	0.0058578638
16	300_8	165	0.522475	6.643e-07	3.87938e-05	0.0001096095	0.006400977
17	300_8	73	0.18795161	6.643e-07	3.87938e-05	4.84939e-05	0.0028319474
18	300_8	93	0.26231715	6.643e-07	3.87938e-05	6.17799e-05	0.0036078234
19	300_8	114	0.47339988	6.643e-07	3.87938e-05	7.573020000000001e-05	0.0044224932
20	300_8	79	0.6144605	6.643e-07	3.87938e-05	5.2479700000000005e-05	0.0030647102
21	300_8	62	0.5919984	6.643e-07	3.87938e-05	4.11866e-05	0.0024052156
22	300_8	140	0.6448174	6.643e-07	3.87938e-05	9.3002e-05	0.005431132
23	300_8	355	0.3358873	6.643e-07	3.87938e-05	0.0002358265	0.013771799
24	300_8	89	0.31859493	6.643e-07	3.87938e-05	5.91227e-05	0.0034526482
25	300_8	125	0.5295681	6.643e-07	3.87938e-05	8.30375e-05	0.004849225
26	300_8	160	0.5558898	6.643e-07	3.87938e-05	0.000106288	0.006207008
27	300_8	168	0.65848464	6.643e-07	3.87938e-05	0.0001116024	0.0065173584
28	300_8	160	0.5146381	6.643e-07	3.87938e-05	0.000106288	0.006207008
29	300_8	150	0.17034964	6.643e-07	3.87938e-05	9.9645e-05	0.00581907
30	300_8	67	0.7812918	6.643e-07	3.87938e-05	4.45081e-05	0.0025991846
31	300_8	187	0.5681079	6.643e-07	3.87938e-05	0.0001242241	0.0072544406
32	300_8	180	0.43625453	6.643e-07	3.87938e-05	0.000119574	0.006982884
33	300_8	180	0.35961345	6.643e-07	3.87938e-05	0.000119574	0.006982884
34	300_8	128	0.6164891	6.643e-07	3.87938e-05	8.50304e-05	0.0049656064
35	300_8	51	0.51321214	6.643e-07	3.87938e-05	3.38793e-05	0.0019784838
36	300_8	99	0.8232274	6.643e-07	3.87938e-05	6.57657e-05	0.0038405862
37	300_8	128	0.8163386	6.643e-07	3.87938e-05	8.50304e-05	0.0049656064
38	300_8	78	0.48675773	6.643e-07	3.87938e-05	5.1815400000000005e-05	0.0030259164
39	300_8	51	0.7057088	6.643e-07	3.87938e-05	3.38793e-05	0.0019784838
40	300_8	67	0.5361922	6.643e-07	3.87938e-05	4.45081e-05	0.0025991846
41	300_8	29	0.26406813	6.643e-07	3.87938e-05	1.92647e-05	0.0011250202
42	300_8	59	0.089814484	6.643e-07	3.87938e-05	3.91937e-05	0.0022888342
43	300_8	284	0.4418944	6.643e-07	3.87938e-05	0.0001886612	0.0110174392
44	300_8	52	0.49812344	6.643e-07	3.87938e-05	3.45436e-05	0.0020172776
45	300_8	114	0.5329975	6.643e-07	3.87938e-05	7.573020000000001e-05	0.0044224932
46	300_8	132	0.7184757	6.643e-07	3.87938e-05	8.76876e-05	0.0051207816
47	300_8	86	0.6869203	6.643e-07	3.87938e-05	5.71298e-05	0.0033362668
48	300_8	77	0.48587987	6.643e-07	3.87938e-05	5.1151100000000006e-05	0.0029871226
49	300_8	130	0.6302604	6.643e-07	3.87938e-05	8.6359e-05	0.005043194
50	300_8	85	0.617764	6.643e-07	3.87938e-05	5.64655e-05	0.003297473
51	300_8	83	0.64724857	6.643e-07	3.87938e-05	5.51369e-05	0.0032198854
52	300_8	66	0.72346	6.643e-07	3.87938e-05	4.38438e-05	0.0025603908
53	300_8	125	0.22720629	6.643e-07	3.87938e-05	8.30375e-05	0.004849225
54	300_8	80	0.5569418	6.643e-07	3.87938e-05	5.3144000000000005e-05	0.003103504
55	300_8	169	0.76184046	6.643e-07	3.87938e-05	0.0001122667	0.0065561522
56	300_8	78	0.6943183	6.643e-07	3.87938e-05	5.1815400000000005e-05	0.0030259164
57	300_8	54	0.33333334	6.643e-07	3.87938e-05	3.5872200000000005e-05	0.0020948652
58	300_8	49	0.57755756	6.643e-07	3.87938e-05	3.25507e-05	0.0019008962
59	300_8	89	0.0	6.643e-07	3.87938e-05	5.91227e-05	0.0034526482
60	300_8	79	0.2533757	6.643e-07	3.87938e-05	5.2479700000000005e-05	0.0030647102
61	300_8	64	0.8246524	6.643e-07	3.87938e-05	4.25152e-05	0.0024828032
62	300_8	110	0.74723107	6.643e-07	3.87938e-05	7.307300000000001e-05	0.004267318
63	300_8	67	0.64295757	6.643e-07	3.87938e-05	4.45081e-05	0.0025991846
64	300_8	61	0.46532446	6.643e-07	3.87938e-05	4.05223e-05	0.0023664218
65	300_8	113	0.6482959	6.643e-07	3.87938e-05	7.506590000000001e-05	0.0043836994
66	300_8	117	0.7037437	6.643e-07	3.87938e-05	7.772310000000001e-05	0.0045388746
67	300_8	143	0.44017115	6.643e-07	3.87938e-05	9.49949e-05	0.0055475134
68	300_8	76	0.4097041	6.643e-07	3.87938e-05	5.0486800000000006e-05	0.0029483288
69	300_8	95	0.46695614	6.643e-07	3.87938e-05	6.31085e-05	0.003685411
70	300_8	34	0.50678366	6.643e-07	3.87938e-05	2.25862e-05	0.0013189892
71	300_8	175	0.71319693	6.643e-07	3.87938e-05	0.0001162525	0.006788915
72	300_8	92	0.22769386	6.643e-07	3.87938e-05	6.11156e-05	0.0035690296
73	300_8	85	0.47823325	6.643e-07	3.87938e-05	5.64655e-05	0.003297473
74	300_8	53	0.8024257	6.643e-07	3.87938e-05	3.52079e-05	0.0020560714
75	300_8	128	0.66829526	6.643e-07	3.87938e-05	8.50304e-05	0.0049656064
76	300_8	129	0.60308427	6.643e-07	3.87938e-05	8.56947e-05	0.0050044002
77	300_8	109	0.3684643	6.643e-07	3.87938e-05	7.240870000000001e-05	0.0042285242
78	300_8	103	0.28376174	6.643e-07	3.87938e-05	6.84229e-05	0.0039957614
79	300_8	129	0.4316547	6.643e-07	3.87938e-05	8.56947e-05	0.0050044002
80	300_8	71	0.7720801	6.643e-07	3.87938e-05	4.71653e-05	0.0027543598
81	300_8	83	0.26161298	6.643e-07	3.87938e-05	5.51369e-05	0.0032198854
82	300_8	175	0.5442541	6.643e-07	3.87938e-05	0.0001162525	0.006788915
83	300_8	82	0.0470558	6.643e-07	3.87938e-05	5.44726e-05	0.0031810916
84	300_8	120	0.23828691	6.643e-07	3.87938e-05	7.971600000000001e-05	0.004655256
85	300_8	53	0.90135264	6.643e-07	3.87938e-05	3.52079e-05	0.0020560714
86	300_8	97	0.88195413	6.643e-07	3.87938e-05	6.44371e-05	0.0037629986
87	300_8	103	0.5056225	6.643e-07	3.87938e-05	6.84229e-05	0.0039957614
88	300_8	44	0.0	6.643e-07	3.87938e-05	2.92292e-05	0.0017069272
89	300_8	82	0.75853693	6.643e-07	3.87938e-05	5.44726e-05	0.0031810916
90	300_8	136	0.53216916	6.643e-07	3.87938e-05	9.03448e-05	0.0052759568
91	300_8	61	0.6484244	6.643e-07	3.87938e-05	4.05223e-05	0.0023664218
92	300_8	99	0.5680245	6.643e-07	3.87938e-05	6.57657e-05	0.0038405862
93	300_8	167	0.10925909	6.643e-07	3.87938e-05	0.0001109381	0.0064785646
94	300_8	113	0.609745	6.643e-07	3.87938e-05	7.506590000000001e-05	0.0043836994
95	300_8	164	0.3283234	6.643e-07	3.87938e-05	0.0001089452	0.0063621832
96	300_8	36	0.66570413	6.643e-07	3.87938e-05	2.39148e-05	0.0013965768
97	300_8	145	0.40050036	6.643e-07	3.87938e-05	9.63235e-05	0.005625101
98	300_8	175	0.0	6.643e-07	3.87938e-05	0.0001162525	0.006788915
99	300_8	89	0.5212995	6.643e-07	3.87938e-05	5.91227e-05	0.0034526482
100	300_8	134	0.1700418	6.643e-07	3.87938e-05	8.90162e-05	0.0051983692
101	300_8	42	0.7265601	6.643e-07	3.87938e-05	2.79006e-05	0.0016293396
102	300_8	155	0.5353879	6.643e-07	3.87938e-05	0.0001029665	0.006013039
103	300_8	60	0.31068158	6.643e-07	3.87938e-05	3.9858e-05	0.002327628
104	300_8	142	0.21214436	6.643e-07	3.87938e-05	9.43306e-05	0.0055087196
105	300_8	187	0.66774726	6.643e-07	3.87938e-05	0.0001242241	0.0072544406
106	300_8	71	0.3680759	6.643e-07	3.87938e-05	4.71653e-05	0.0027543598
107	300_8	103	0.25815606	6.643e-07	3.87938e-05	6.84229e-05	0.0039957614
108	300_8	175	0.47223395	6.643e-07	3.87938e-05	0.0001162525	0.006788915
109	300_8	113	0.6448543	6.643e-07	3.87938e-05	7.506590000000001e-05	0.0043836994
110	300_8	172	0.5079359	6.643e-07	3.87938e-05	0.0001142596	0.0066725336
111	300_8	169	0.25906247	6.643e-07	3.87938e-05	0.0001122667	0.0065561522
112	300_8	147	0.4392119	6.643e-07	3.87938e-05	9.76521e-05	0.0057026886
113	300_8	121	0.7104532	6.643e-07	3.87938e-05	8.038030000000001e-05	0.0046940498
114	300_8	198	0.7894538	6.643e-07	3.87938e-05	0.0001315314	0.0076811724
115	300_8	75	0.27106825	6.643e-07	3.87938e-05	4.9822500000000006e-05	0.002909535
116	300_8	114	0.751065	6.643e-07	3.87938e-05	7.573020000000001e-05	0.0044224932
117	300_8	110	0.2451126	6.643e-07	3.87938e-05	7.307300000000001e-05	0.004267318
