qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	150_8	103	0.27463272	3.75563e-07	2.1636e-05	3.8682989e-05	0.002228508
1	150_8	31	0.7855221	3.75563e-07	2.1636e-05	1.1642453e-05	0.000670716
2	150_8	78	0.6814118	3.75563e-07	2.1636e-05	2.9293914e-05	0.001687608
3	150_8	76	0.79875344	3.75563e-07	2.1636e-05	2.8542788e-05	0.001644336
4	150_8	40	0.8783281	3.75563e-07	2.1636e-05	1.502252e-05	0.00086544
5	150_8	113	0.6633562	3.75563e-07	2.1636e-05	4.2438619e-05	0.002444868
6	150_8	102	0.6016901	3.75563e-07	2.1636e-05	3.8307426e-05	0.002206872
7	150_8	103	0.4948606	3.75563e-07	2.1636e-05	3.8682989e-05	0.002228508
8	150_8	112	0.49550933	3.75563e-07	2.1636e-05	4.2063056e-05	0.002423232
9	150_8	122	0.46929863	3.75563e-07	2.1636e-05	4.5818686e-05	0.002639592
10	150_8	89	0.3288814	3.75563e-07	2.1636e-05	3.3425107e-05	0.001925604
11	150_8	39	0.73073816	3.75563e-07	2.1636e-05	1.4646957e-05	0.000843804
12	150_8	129	0.5548269	3.75563e-07	2.1636e-05	4.8447627e-05	0.002791044
13	150_8	42	0.586531	3.75563e-07	2.1636e-05	1.5773646e-05	0.000908712
14	150_8	93	0.22846024	3.75563e-07	2.1636e-05	3.4927359e-05	0.002012148
15	150_8	151	0.45273283	3.75563e-07	2.1636e-05	5.6710013e-05	0.003267036
16	150_8	165	0.4285364	3.75563e-07	2.1636e-05	6.1967895e-05	0.00356994
17	150_8	73	0.26106843	3.75563e-07	2.1636e-05	2.7416099e-05	0.001579428
18	150_8	93	0.18632826	3.75563e-07	2.1636e-05	3.4927359e-05	0.002012148
19	150_8	114	0.43369025	3.75563e-07	2.1636e-05	4.2814182e-05	0.002466504
20	150_8	79	0.6022841	3.75563e-07	2.1636e-05	2.9669477e-05	0.001709244
21	150_8	62	0.6425613	3.75563e-07	2.1636e-05	2.3284906e-05	0.001341432
22	150_8	140	0.6134937	3.75563e-07	2.1636e-05	5.257882e-05	0.00302904
23	150_8	355	0.33739164	3.75563e-07	2.1636e-05	0.000133324865	0.00768078
24	150_8	89	0.37910298	3.75563e-07	2.1636e-05	3.3425107e-05	0.001925604
25	150_8	125	0.5322162	3.75563e-07	2.1636e-05	4.6945375e-05	0.0027045
26	150_8	160	0.43901232	3.75563e-07	2.1636e-05	6.009008e-05	0.00346176
27	150_8	168	0.65897393	3.75563e-07	2.1636e-05	6.3094584e-05	0.003634848
28	150_8	160	0.47549492	3.75563e-07	2.1636e-05	6.009008e-05	0.00346176
29	150_8	150	0.13180047	3.75563e-07	2.1636e-05	5.633445e-05	0.0032454
30	150_8	67	0.73675996	3.75563e-07	2.1636e-05	2.5162721e-05	0.001449612
31	150_8	187	0.51658994	3.75563e-07	2.1636e-05	7.0230281e-05	0.004045932
32	150_8	180	0.45310035	3.75563e-07	2.1636e-05	6.760134e-05	0.00389448
33	150_8	180	0.20876901	3.75563e-07	2.1636e-05	6.760134e-05	0.00389448
34	150_8	128	0.6577279	3.75563e-07	2.1636e-05	4.8072064e-05	0.002769408
35	150_8	51	0.5321137	3.75563e-07	2.1636e-05	1.9153713e-05	0.001103436
36	150_8	99	0.81953484	3.75563e-07	2.1636e-05	3.7180737e-05	0.002141964
37	150_8	128	0.7922869	3.75563e-07	2.1636e-05	4.8072064e-05	0.002769408
38	150_8	78	0.6620732	3.75563e-07	2.1636e-05	2.9293914e-05	0.001687608
39	150_8	51	0.71708703	3.75563e-07	2.1636e-05	1.9153713e-05	0.001103436
40	150_8	67	0.5770106	3.75563e-07	2.1636e-05	2.5162721e-05	0.001449612
41	150_8	29	0.3065736	3.75563e-07	2.1636e-05	1.0891327e-05	0.000627444
42	150_8	59	0.19289269	3.75563e-07	2.1636e-05	2.2158217e-05	0.001276524
43	150_8	284	0.45752004	3.75563e-07	2.1636e-05	0.000106659892	0.006144624
44	150_8	52	0.54451156	3.75563e-07	2.1636e-05	1.9529276e-05	0.001125072
45	150_8	114	0.55681854	3.75563e-07	2.1636e-05	4.2814182e-05	0.002466504
